,bg,bg_num,compliant,fg,fg_num,ratio,new_ratio,new_fg
41,#CD6CD0,13462736,False,#7200E0,7471328,2.38,6.18,#2e5030
42,#CD6CD0,13462736,False,#C8DFE0,13164512,2.26,1.01,#2e5030
43,#CD6CD0,13462736,False,#C41360,12850016,1.84,6.12,#2e5030
44,#CD6CD0,13462736,False,#84C230,8700464,1.46,4.28,#2e5030
45,#CD6CD0,13462736,False,#9BD310,10212112,1.76,4.61,#2e5030
46,#CD6CD0,13462736,False,#B4BAC0,11844288,1.61,1.99,#2e5030
47,#CD6CD0,13462736,False,#BCA2E0,12362464,1.41,2.7,#2e5030
48,#CD6CD0,13462736,False,#C80510,13108496,1.9,6.34,#2e5030
49,#CD6CD0,13462736,False,#8555E0,8738272,1.52,4.53,#2e5030
50,#CD6CD0,13462736,False,#FB31E0,16462304,1.0,3.33,#2e5030
51,#CD6CD0,13462736,False,#70A9C0,7383488,1.22,3.06,#2e5030
52,#CD6CD0,13462736,False,#890670,8980080,2.86,6.65,#2e5030
53,#CD6CD0,13462736,False,#E0C310,14730000,1.8,4.07,#2e5030
54,#CD6CD0,13462736,False,#C25010,12734480,1.49,6.01,#2e5030
56,#CD6CD0,13462736,False,#2EFA40,3078720,2.23,1.92,#2e5030
57,#CD6CD0,13462736,False,#333D30,3358000,3.59,6.65,#2e5030
58,#CD6CD0,13462736,False,#263FC0,2506688,2.6,5.99,#2e5030
59,#CD6CD0,13462736,False,#4A96C0,4888256,1.03,4.23,#2e5030
60,#CD6CD0,13462736,False,#3FC140,4178240,1.34,4.0,#2e5030
61,#CD6CD0,13462736,False,#9543A0,9782176,1.85,5.79,#2e5030
62,#CD6CD0,13462736,False,#A96760,11102048,1.38,4.73,#2e5030
63,#CD6CD0,13462736,False,#E7A960,15182176,1.53,2.17,#2e5030
64,#CD6CD0,13462736,False,#2E16A0,3020448,3.82,6.63,#2e5030
65,#CD6CD0,13462736,False,#53BFC0,5488576,1.44,3.3,#2e5030
66,#CD6CD0,13462736,False,#BF5F20,12541728,1.36,5.64,#2e5030
67,#CD6CD0,13462736,False,#00A160,41312,1.06,6.65,#2e5030
68,#CD6CD0,13462736,False,#E96540,15295808,1.03,3.62,#2e5030
69,#CD6CD0,13462736,False,#3793F0,3642352,1.0,3.63,#2e5030
70,#CD6CD0,13462736,False,#E51A10,15014416,1.48,5.37,#2e5030
71,#CD6CD0,13462736,False,#FDE820,16640032,2.51,2.02,#2e5030
72,#CD6CD0,13462736,False,#9326D0,9643728,1.94,5.57,#2e5030
73,#CD6CD0,13462736,False,#9D72E0,10318560,1.12,3.78,#2e5030
74,#CD6CD0,13462736,False,#D80DD0,14159312,1.36,5.64,#2e5030
75,#CD6CD0,13462736,False,#8CF780,9238400,2.36,1.2,#2e5030
76,#CD6CD0,13462736,False,#4AC3F0,4899824,1.55,2.28,#2e5030
77,#CD6CD0,13462736,False,#9AEA80,10152576,2.17,1.1,#2e5030
78,#CD6CD0,13462736,False,#E26600,14837248,1.08,5.39,#2e5030
79,#CD6CD0,13462736,False,#B3D6C0,11785920,1.99,1.28,#2e5030
80,#CD6CD0,13462736,False,#416090,4284560,2.01,6.12,#2e5030
81,#CD6CD0,13462736,False,#9DDF60,10346336,1.97,1.74,#2e5030
82,#CD6CD0,13462736,False,#8A36D0,9058000,1.89,5.25,#2e5030
83,#CD6CD0,13462736,False,#84B580,8697216,1.33,2.78,#2e5030
84,#CD6CD0,13462736,False,#332C00,3353600,4.43,6.65,#2e5030
85,#CD6CD0,13462736,False,#60ADC0,6335936,1.23,3.29,#2e5030
86,#CD6CD0,13462736,False,#295320,2708256,2.82,6.65,#2e5030
88,#CD6CD0,13462736,False,#1F8860,2066528,1.4,6.65,#2e5030
89,#CD6CD0,13462736,False,#F1D2F0,15848176,2.28,1.28,#2e5030
90,#CD6CD0,13462736,False,#B06230,11559472,1.43,5.63,#2e5030
91,#CD6CD0,13462736,False,#CB8170,13336944,1.03,3.34,#2e5030
92,#CD6CD0,13462736,False,#3D6250,4022864,2.17,6.65,#2e5030
93,#CD6CD0,13462736,False,#873100,8859904,2.69,6.65,#2e5030
94,#CD6CD0,13462736,False,#40D850,4249680,1.67,2.88,#2e5030
95,#CD6CD0,13462736,False,#D106E0,13698784,1.38,5.67,#2e5030
96,#CD6CD0,13462736,False,#E64A90,15092368,1.15,3.71,#2e5030
97,#CD6CD0,13462736,False,#628BB0,6458288,1.13,4.22,#2e5030
98,#CD6CD0,13462736,False,#E95B80,15293312,1.06,3.26,#2e5030
99,#CD6CD0,13462736,False,#7F4300,8340224,2.45,6.65,#2e5030
100,#CD6CD0,13462736,False,#E9F0A0,15331488,2.62,1.55,#2e5030
101,#CD6CD0,13462736,False,#E6F620,15136288,2.64,2.14,#2e5030
102,#CD6CD0,13462736,False,#4D5F30,5070640,2.22,6.65,#2e5030
103,#CD6CD0,13462736,False,#A46750,10774352,1.43,5.18,#2e5030
104,#CD6CD0,13462736,False,#302DD0,3157456,2.75,5.81,#2e5030
106,#CD6CD0,13462736,False,#364BC0,3558336,2.27,5.64,#2e5030
107,#CD6CD0,13462736,False,#E7F8B0,15202480,2.77,2.06,#2e5030
108,#CD6CD0,13462736,False,#669220,6722080,1.16,6.65,#2e5030
109,#CD6CD0,13462736,False,#819B70,8493936,1.03,4.1,#2e5030
110,#CD6CD0,13462736,False,#3B5470,3888240,2.47,6.65,#2e5030
111,#CD6CD0,13462736,False,#B4ED10,11857168,2.26,3.27,#2e5030
112,#CD6CD0,13462736,False,#493060,4796512,3.54,6.65,#2e5030
113,#CD6CD0,13462736,False,#7E8950,8292688,1.19,5.67,#2e5030
114,#CD6CD0,13462736,False,#1E9320,2003744,1.26,6.65,#2e5030
115,#CD6CD0,13462736,False,#1A3DA0,1719712,2.99,6.56,#2e5030
116,#CD6CD0,13462736,False,#DC62F0,14443248,1.05,2.79,#2e5030
117,#CD6CD0,13462736,False,#DBA3D0,14394320,1.52,2.12,#2e5030
118,#CD6CD0,13462736,False,#BE35C0,12465600,1.49,5.28,#2e5030
119,#CD6CD0,13462736,False,#F63410,16135184,1.22,4.71,#2e5030
120,#CD6CD0,13462736,False,#D17A00,13728256,1.02,5.81,#2e5030
121,#CD6CD0,13462736,False,#87EA10,8907280,2.07,3.51,#2e5030
122,#CD6CD0,13462736,False,#A55720,10835744,1.66,6.29,#2e5030
123,#CD6CD0,13462736,False,#51FE90,5373584,2.39,1.14,#2e5030
124,#CD6CD0,13462736,False,#AE4CD0,11422928,1.4,4.46,#2e5030
125,#CD6CD0,13462736,False,#705640,7362112,2.14,6.65,#2e5030
126,#CD6CD0,13462736,False,#1AE910,1763600,1.91,3.71,#2e5030
127,#CD6CD0,13462736,False,#0FAC60,1027168,1.06,6.4,#2e5030
128,#CD6CD0,13462736,False,#513510,5322000,3.56,6.65,#2e5030
129,#CD6CD0,13462736,False,#260BB0,2493360,3.78,6.61,#2e5030
130,#CD6CD0,13462736,False,#B4DC60,11852896,2.0,1.77,#2e5030
131,#CD6CD0,13462736,False,#DDE350,14541648,2.28,1.7,#2e5030
132,#CD6CD0,13462736,False,#F5CE80,16109184,2.1,1.13,#2e5030
133,#CD6CD0,13462736,False,#F3F8D0,15988944,2.87,2.15,#2e5030
134,#CD6CD0,13462736,False,#9B73C0,10187712,1.18,3.97,#2e5030
135,#CD6CD0,13462736,False,#AE2C70,11414640,1.95,6.01,#2e5030
136,#CD6CD0,13462736,False,#8B81B0,9142704,1.13,3.88,#2e5030
137,#CD6CD0,13462736,False,#8EA9A0,9349536,1.25,2.93,#2e5030
138,#CD6CD0,13462736,False,#B20510,11666704,2.27,6.61,#2e5030
139,#CD6CD0,13462736,False,#4443A0,4473760,2.6,6.01,#2e5030
140,#CD6CD0,13462736,False,#67A090,6791312,1.05,4.17,#2e5030
141,#CD6CD0,13462736,False,#58CB70,5819248,1.53,2.76,#2e5030
142,#CD6CD0,13462736,False,#79C910,7981328,1.52,5.17,#2e5030
143,#CD6CD0,13462736,False,#00EDC0,60864,2.08,3.99,#2e5030
144,#CD6CD0,13462736,False,#209730,2135856,1.2,6.52,#2e5030
145,#CD6CD0,13462736,False,#F798A0,16226464,1.49,1.8,#2e5030
146,#CD6CD0,13462736,False,#066D10,421136,2.07,6.65,#2e5030
147,#CD6CD0,13462736,False,#CA7130,13267248,1.12,4.77,#2e5030
148,#CD6CD0,13462736,False,#7DB480,8238208,1.3,2.88,#2e5030
149,#CD6CD0,13462736,False,#1B2F70,1781616,3.94,6.65,#2e5030
150,#95DC40,9821248,False,#DE8320,14582560,1.7,8.24,#2e5030
151,#95DC40,9821248,False,#D55360,13980512,2.4,7.78,#2e5030
152,#95DC40,9821248,False,#315880,3233920,4.43,12.5,#2e5030
153,#95DC40,9821248,False,#F409A0,15993248,2.33,9.46,#2e5030
154,#95DC40,9821248,False,#57A310,5743376,1.89,12.5,#2e5030
156,#95DC40,9821248,False,#1CD190,1888656,1.19,8.25,#2e5030
157,#95DC40,9821248,False,#8D5AF0,9263856,2.59,7.87,#2e5030
158,#95DC40,9821248,False,#04FC70,326768,1.2,6.03,#2e5030
159,#95DC40,9821248,False,#8BC760,9160544,1.2,5.02,#2e5030
160,#95DC40,9821248,False,#5E40D0,6176976,4.03,10.1,#2e5030
161,#95DC40,9821248,False,#A76490,10970256,2.58,8.88,#2e5030
162,#95DC40,9821248,False,#D9B500,14267648,1.19,9.73,#2e5030
163,#95DC40,9821248,False,#9DEC20,10349600,1.14,5.33,#2e5030
164,#95DC40,9821248,False,#337DB0,3374512,2.67,10.4,#2e5030
165,#95DC40,9821248,False,#D92EB0,14233264,2.53,9.09,#2e5030
166,#95DC40,9821248,False,#42A940,4368704,1.8,9.46,#2e5030
168,#95DC40,9821248,False,#902C90,9448592,4.26,12.3,#2e5030
170,#95DC40,9821248,False,#9DFBC0,10353600,1.34,1.1,#2e5030
171,#95DC40,9821248,False,#EC6600,15492608,1.94,9.54,#2e5030
172,#95DC40,9821248,False,#F8F1F0,16314864,1.49,1.93,#2e5030
174,#95DC40,9821248,False,#E179E0,14776800,1.57,4.81,#2e5030
175,#95DC40,9821248,False,#9F8BA0,10455968,1.88,6.84,#2e5030
177,#95DC40,9821248,False,#EAE090,15392912,1.23,1.73,#2e5030
178,#95DC40,9821248,False,#F68E80,16158336,1.38,3.88,#2e5030
179,#95DC40,9821248,False,#BCF520,12383520,1.28,4.39,#2e5030
180,#95DC40,9821248,False,#E39010,14913552,1.52,8.55,#2e5030
181,#95DC40,9821248,False,#50F6A0,5306016,1.19,2.59,#2e5030
183,#95DC40,9821248,False,#23AEB0,2338480,1.62,10.6,#2e5030
185,#95DC40,9821248,False,#7A4690,8013456,4.05,11.4,#2e5030
186,#95DC40,9821248,False,#739940,7575872,1.97,10.5,#2e5030
187,#95DC40,9821248,False,#D430B0,13906096,2.59,9.26,#2e5030
189,#95DC40,9821248,False,#DEF280,14611072,1.35,1.51,#2e5030
190,#95DC40,9821248,False,#29B3E0,2733024,1.46,7.13,#2e5030
191,#95DC40,9821248,False,#7200E0,7471328,4.5,11.7,#2e5030
192,#95DC40,9821248,False,#C8DFE0,13164512,1.19,1.92,#2e5030
193,#95DC40,9821248,False,#C41360,12850016,3.48,11.6,#2e5030
194,#95DC40,9821248,False,#84C230,8700464,1.29,8.11,#2e5030
195,#95DC40,9821248,False,#9BD310,10212112,1.07,8.73,#2e5030
196,#95DC40,9821248,False,#B4BAC0,11844288,1.17,3.78,#2e5030
197,#95DC40,9821248,False,#BCA2E0,12362464,1.34,5.12,#2e5030
198,#95DC40,9821248,False,#C80510,13108496,3.61,11.9,#2e5030
199,#95DC40,9821248,False,#8555E0,8738272,2.87,8.58,#2e5030
200,#95DC40,9821248,False,#FB31E0,16462304,1.9,6.31,#2e5030
201,#95DC40,9821248,False,#70A9C0,7383488,1.54,5.79,#2e5030
203,#95DC40,9821248,False,#E0C310,14730000,1.05,7.71,#2e5030
204,#95DC40,9821248,False,#C25010,12734480,2.82,11.3,#2e5030
206,#95DC40,9821248,False,#2EFA40,3078720,1.18,3.63,#2e5030
209,#95DC40,9821248,False,#4A96C0,4888256,1.96,8.02,#2e5030
210,#95DC40,9821248,False,#3FC140,4178240,1.41,7.57,#2e5030
211,#95DC40,9821248,False,#9543A0,9782176,3.5,10.9,#2e5030
212,#95DC40,9821248,False,#A96760,11102048,2.62,8.96,#2e5030
213,#95DC40,9821248,False,#E7A960,15182176,1.22,4.11,#2e5030
215,#95DC40,9821248,False,#53BFC0,5488576,1.31,6.26,#2e5030
216,#95DC40,9821248,False,#BF5F20,12541728,2.58,10.6,#2e5030
217,#95DC40,9821248,False,#00A160,41312,2.0,12.5,#2e5030
218,#95DC40,9821248,False,#E96540,15295808,1.96,6.85,#2e5030
219,#95DC40,9821248,False,#3793F0,3642352,1.9,6.87,#2e5030
220,#95DC40,9821248,False,#E51A10,15014416,2.8,10.1,#2e5030
221,#95DC40,9821248,False,#FDE820,16640032,1.32,3.83,#2e5030
222,#95DC40,9821248,False,#9326D0,9643728,3.67,10.5,#2e5030
223,#95DC40,9821248,False,#9D72E0,10318560,2.12,7.16,#2e5030
224,#95DC40,9821248,False,#D80DD0,14159312,2.57,10.6,#2e5030
225,#95DC40,9821248,False,#8CF780,9238400,1.24,1.57,#2e5030
226,#95DC40,9821248,False,#4AC3F0,4899824,1.21,4.32,#2e5030
227,#95DC40,9821248,False,#9AEA80,10152576,1.14,2.09,#2e5030
228,#95DC40,9821248,False,#E26600,14837248,2.05,10.2,#2e5030
229,#95DC40,9821248,False,#B3D6C0,11785920,1.05,2.43,#2e5030
230,#95DC40,9821248,False,#416090,4284560,3.81,11.6,#2e5030
231,#95DC40,9821248,False,#9DDF60,10346336,1.04,3.3,#2e5030
232,#95DC40,9821248,False,#8A36D0,9058000,3.57,9.95,#2e5030
233,#95DC40,9821248,False,#84B580,8697216,1.41,5.26,#2e5030
235,#95DC40,9821248,False,#60ADC0,6335936,1.52,6.23,#2e5030
238,#95DC40,9821248,False,#1F8860,2066528,2.65,12.5,#2e5030
239,#95DC40,9821248,False,#F1D2F0,15848176,1.2,2.42,#2e5030
240,#95DC40,9821248,False,#B06230,11559472,2.71,10.6,#2e5030
241,#95DC40,9821248,False,#CB8170,13336944,1.82,6.32,#2e5030
242,#95DC40,9821248,False,#3D6250,4022864,4.11,12.5,#2e5030
244,#95DC40,9821248,False,#40D850,4249680,1.12,5.46,#2e5030
245,#95DC40,9821248,False,#D106E0,13698784,2.61,10.7,#2e5030
246,#95DC40,9821248,False,#E64A90,15092368,2.19,7.02,#2e5030
247,#95DC40,9821248,False,#628BB0,6458288,2.15,7.99,#2e5030
248,#95DC40,9821248,False,#E95B80,15293312,2.0,6.17,#2e5030
250,#95DC40,9821248,False,#E9F0A0,15331488,1.38,1.21,#2e5030
251,#95DC40,9821248,False,#E6F620,15136288,1.39,4.06,#2e5030
252,#95DC40,9821248,False,#4D5F30,5070640,4.2,12.5,#2e5030
253,#95DC40,9821248,False,#A46750,10774352,2.71,9.8,#2e5030
256,#95DC40,9821248,False,#364BC0,3558336,4.3,10.6,#2e5030
257,#95DC40,9821248,False,#E7F8B0,15202480,1.46,1.09,#2e5030
258,#95DC40,9821248,False,#669220,6722080,2.2,12.5,#2e5030
259,#95DC40,9821248,False,#819B70,8493936,1.83,7.77,#2e5030
261,#95DC40,9821248,False,#B4ED10,11857168,1.19,6.2,#2e5030
263,#95DC40,9821248,False,#7E8950,8292688,2.25,10.7,#2e5030
264,#95DC40,9821248,False,#1E9320,2003744,2.39,12.5,#2e5030
266,#95DC40,9821248,False,#DC62F0,14443248,1.78,5.28,#2e5030
267,#95DC40,9821248,False,#DBA3D0,14394320,1.23,4.02,#2e5030
268,#95DC40,9821248,False,#BE35C0,12465600,2.82,10.0,#2e5030
269,#95DC40,9821248,False,#F63410,16135184,2.32,8.92,#2e5030
270,#95DC40,9821248,False,#D17A00,13728256,1.93,10.9,#2e5030
271,#95DC40,9821248,False,#87EA10,8907280,1.09,6.65,#2e5030
272,#95DC40,9821248,False,#A55720,10835744,3.15,11.9,#2e5030
273,#95DC40,9821248,False,#51FE90,5373584,1.26,2.16,#2e5030
274,#95DC40,9821248,False,#AE4CD0,11422928,2.65,8.45,#2e5030
275,#95DC40,9821248,False,#705640,7362112,4.06,12.5,#2e5030
276,#95DC40,9821248,False,#1AE910,1763600,1.0,7.03,#2e5030
277,#95DC40,9821248,False,#0FAC60,1027168,1.77,12.1,#2e5030
280,#95DC40,9821248,False,#B4DC60,11852896,1.06,3.35,#2e5030
281,#95DC40,9821248,False,#DDE350,14541648,1.2,3.22,#2e5030
282,#95DC40,9821248,False,#F5CE80,16109184,1.11,2.14,#2e5030
283,#95DC40,9821248,False,#F3F8D0,15988944,1.52,1.14,#2e5030
284,#95DC40,9821248,False,#9B73C0,10187712,2.24,7.52,#2e5030
285,#95DC40,9821248,False,#AE2C70,11414640,3.7,11.3,#2e5030
286,#95DC40,9821248,False,#8B81B0,9142704,2.14,7.35,#2e5030
287,#95DC40,9821248,False,#8EA9A0,9349536,1.51,5.55,#2e5030
288,#95DC40,9821248,False,#B20510,11666704,4.3,12.5,#2e5030
290,#95DC40,9821248,False,#67A090,6791312,1.79,7.89,#2e5030
291,#95DC40,9821248,False,#58CB70,5819248,1.23,5.23,#2e5030
292,#95DC40,9821248,False,#79C910,7981328,1.23,9.79,#2e5030
293,#95DC40,9821248,False,#00EDC0,60864,1.1,7.55,#2e5030
294,#95DC40,9821248,False,#209730,2135856,2.27,12.3,#2e5030
295,#95DC40,9821248,False,#F798A0,16226464,1.26,3.41,#2e5030
296,#95DC40,9821248,False,#066D10,421136,3.93,12.5,#2e5030
297,#95DC40,9821248,False,#CA7130,13267248,2.12,9.03,#2e5030
298,#95DC40,9821248,False,#7DB480,8238208,1.44,5.45,#2e5030
300,#B57830,11892784,False,#DE8320,14582560,1.29,2.72,#2e5030
301,#B57830,11892784,False,#D55360,13980512,1.08,2.98,#2e5030
302,#B57830,11892784,False,#315880,3233920,2.0,1.65,#2e5030
303,#B57830,11892784,False,#F409A0,15993248,1.05,2.22,#2e5030
304,#B57830,11892784,False,#57A310,5743376,1.16,2.75,#2e5030
306,#B57830,11892784,False,#1CD190,1888656,1.85,2.93,#2e5030
307,#B57830,11892784,False,#8D5AF0,9263856,1.17,3.65,#2e5030
308,#B57830,11892784,False,#04FC70,326768,2.66,3.17,#2e5030
309,#B57830,11892784,False,#8BC760,9160544,1.83,3.28,#2e5030
310,#B57830,11892784,False,#5E40D0,6176976,1.82,2.47,#2e5030
311,#B57830,11892784,False,#A76490,10970256,1.16,2.66,#2e5030
312,#B57830,11892784,False,#D9B500,14267648,1.85,3.09,#2e5030
313,#B57830,11892784,False,#9DEC20,10349600,2.53,3.3,#2e5030
314,#B57830,11892784,False,#337DB0,3374512,1.21,2.28,#2e5030
315,#B57830,11892784,False,#D92EB0,14233264,1.14,2.46,#2e5030
316,#B57830,11892784,False,#42A940,4368704,1.22,2.6,#2e5030
317,#B57830,11892784,False,#0C4D60,806240,2.53,1.71,#2e5030
318,#B57830,11892784,False,#902C90,9448592,1.93,1.61,#2e5030
319,#B57830,11892784,False,#541980,5511552,3.11,1.04,#2e5030
320,#B57830,11892784,False,#9DFBC0,10353600,2.98,3.68,#2e5030
321,#B57830,11892784,False,#EC6600,15492608,1.13,2.47,#2e5030
322,#B57830,11892784,False,#F8F1F0,16314864,3.3,3.68,#2e5030
323,#B57830,11892784,False,#570840,5703744,3.76,1.04,#2e5030
324,#B57830,11892784,False,#E179E0,14776800,1.4,3.68,#2e5030
325,#B57830,11892784,False,#9F8BA0,10455968,1.17,3.17,#2e5030
326,#B57830,11892784,False,#712B50,7416656,2.63,1.28,#2e5030
327,#B57830,11892784,False,#EAE090,15392912,2.73,3.68,#2e5030
328,#B57830,11892784,False,#F68E80,16158336,1.59,3.68,#2e5030
329,#B57830,11892784,False,#BCF520,12383520,2.84,3.43,#2e5030
330,#B57830,11892784,False,#E39010,14913552,1.45,2.76,#2e5030
331,#B57830,11892784,False,#50F6A0,5306016,2.63,3.64,#2e5030
332,#B57830,11892784,False,#164210,1458704,3.12,1.78,#2e5030
333,#B57830,11892784,False,#23AEB0,2338480,1.36,2.69,#2e5030
334,#B57830,11892784,False,#0B45C0,738752,2.16,1.59,#2e5030
335,#B57830,11892784,False,#7A4690,8013456,1.83,1.89,#2e5030
336,#B57830,11892784,False,#739940,7575872,1.11,2.53,#2e5030
337,#B57830,11892784,False,#D430B0,13906096,1.17,2.43,#2e5030
338,#B57830,11892784,False,#5928B0,5843120,2.41,1.65,#2e5030
339,#B57830,11892784,False,#DEF280,14611072,3.0,3.68,#2e5030
340,#B57830,11892784,False,#29B3E0,2733024,1.51,2.89,#2e5030
341,#B57830,11892784,False,#7200E0,7471328,2.03,1.61,#2e5030
342,#B57830,11892784,False,#C8DFE0,13164512,2.64,3.68,#2e5030
343,#B57830,11892784,False,#C41360,12850016,1.57,1.74,#2e5030
344,#B57830,11892784,False,#84C230,8700464,1.71,2.92,#2e5030
345,#B57830,11892784,False,#9BD310,10212112,2.05,3.16,#2e5030
346,#B57830,11892784,False,#B4BAC0,11844288,1.88,3.68,#2e5030
347,#B57830,11892784,False,#BCA2E0,12362464,1.64,3.68,#2e5030
348,#B57830,11892784,False,#C80510,13108496,1.63,1.54,#2e5030
349,#B57830,11892784,False,#8555E0,8738272,1.3,3.18,#2e5030
350,#B57830,11892784,False,#FB31E0,16462304,1.16,3.03,#2e5030
351,#B57830,11892784,False,#70A9C0,7383488,1.42,3.31,#2e5030
352,#B57830,11892784,False,#890670,8980080,2.45,1.21,#2e5030
353,#B57830,11892784,False,#E0C310,14730000,2.1,3.13,#2e5030
354,#B57830,11892784,False,#C25010,12734480,1.27,2.08,#2e5030
355,#B57830,11892784,False,#081370,529264,4.25,1.62,#2e5030
356,#B57830,11892784,False,#2EFA40,3078720,2.61,3.38,#2e5030
357,#B57830,11892784,False,#333D30,3358000,3.07,1.26,#2e5030
358,#B57830,11892784,False,#263FC0,2506688,2.22,1.85,#2e5030
359,#B57830,11892784,False,#4A96C0,4888256,1.12,2.78,#2e5030
360,#B57830,11892784,False,#3FC140,4178240,1.56,2.86,#2e5030
361,#B57830,11892784,False,#9543A0,9782176,1.58,2.05,#2e5030
362,#B57830,11892784,False,#A96760,11102048,1.18,2.63,#2e5030
363,#B57830,11892784,False,#E7A960,15182176,1.79,3.62,#2e5030
364,#B57830,11892784,False,#2E16A0,3020448,3.27,1.1,#2e5030
365,#B57830,11892784,False,#53BFC0,5488576,1.68,3.08,#2e5030
366,#B57830,11892784,False,#BF5F20,12541728,1.16,2.25,#2e5030
367,#B57830,11892784,False,#00A160,41312,1.1,2.88,#2e5030
368,#B57830,11892784,False,#E96540,15295808,1.12,3.07,#2e5030
369,#B57830,11892784,False,#3793F0,3642352,1.15,3.08,#2e5030
370,#B57830,11892784,False,#E51A10,15014416,1.26,2.1,#2e5030
371,#B57830,11892784,False,#FDE820,16640032,2.93,3.48,#2e5030
372,#B57830,11892784,False,#9326D0,9643728,1.66,2.13,#2e5030
373,#B57830,11892784,False,#9D72E0,10318560,1.03,3.68,#2e5030
374,#B57830,11892784,False,#D80DD0,14159312,1.16,1.97,#2e5030
375,#B57830,11892784,False,#8CF780,9238400,2.76,3.68,#2e5030
376,#B57830,11892784,False,#4AC3F0,4899824,1.81,3.47,#2e5030
377,#B57830,11892784,False,#9AEA80,10152576,2.53,3.68,#2e5030
378,#B57830,11892784,False,#E26600,14837248,1.07,2.4,#2e5030
379,#B57830,11892784,False,#B3D6C0,11785920,2.33,3.68,#2e5030
380,#B57830,11892784,False,#416090,4284560,1.72,1.93,#2e5030
381,#B57830,11892784,False,#9DDF60,10346336,2.31,3.58,#2e5030
382,#B57830,11892784,False,#8A36D0,9058000,1.61,2.38,#2e5030
383,#B57830,11892784,False,#84B580,8697216,1.56,3.39,#2e5030
384,#B57830,11892784,False,#332C00,3353600,3.79,2.17,#2e5030
385,#B57830,11892784,False,#60ADC0,6335936,1.44,3.12,#2e5030
386,#B57830,11892784,False,#295320,2708256,2.42,1.7,#2e5030
388,#B57830,11892784,False,#1F8860,2066528,1.19,2.31,#2e5030
389,#B57830,11892784,False,#F1D2F0,15848176,2.67,3.68,#2e5030
390,#B57830,11892784,False,#B06230,11559472,1.22,2.25,#2e5030
391,#B57830,11892784,False,#CB8170,13336944,1.21,3.39,#2e5030
392,#B57830,11892784,False,#3D6250,4022864,1.85,1.77,#2e5030
