,background,foreground,level,ratio,selector,type,site_id,url
10,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div > div:nth-of-type(1) > nav#block-pup-irs-informationmenu-2 > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) + li + li + li + li + li > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
11,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div > div:nth-of-type(1) > nav#block-pup-irs-informationmenu-2 > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) + li + li + li + li + li + li > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
12,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-pup-irs-infomenumobile > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button#languageswitcher,aria_reference_broken,0,https://www.irs.gov/
13,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-pup-irs-infomenumobile > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
14,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-pup-irs-infomenumobile > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) + li > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
15,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-pup-irs-infomenumobile > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
16,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-pup-irs-infomenumobile > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) + li + li + li > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
17,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-pup-irs-infomenumobile > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) + li + li + li + li > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
18,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-pup-irs-infomenumobile > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) + li + li + li + li + li > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
19,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-pup-irs-infomenumobile > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) + li + li + li + li + li + li > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
20,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > nav#block-mainnavigationmobile-2 > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li > ul#accessible-megamenu-file-submenu > div:nth-of-type(1) > li:nth-of-type(1) > a#accessible-megamenu-file-submenu-0,link_redundant,0,https://www.irs.gov/
21,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > nav#block-mainnavigationmobile-2 > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li + li > ul#accessible-megamenu-pay-submenu > div:nth-of-type(1) > li:nth-of-type(1) > a#accessible-megamenu-pay-submenu-0,link_redundant,0,https://www.irs.gov/
22,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > nav#block-mainnavigationmobile-2 > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li + li + li > ul#accessible-megamenu-refunds-submenu > div:nth-of-type(1) > li:nth-of-type(1) > a#accessible-megamenu-refunds-submenu-0,link_redundant,0,https://www.irs.gov/
23,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > nav#block-mainnavigationmobile-2 > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li + li + li + li > ul#accessible-megamenu-credits & deductions-submenu > div:nth-of-type(1) > li:nth-of-type(1) > a#accessible-megamenu-credits & deductions-submenu-0,link_redundant,0,https://www.irs.gov/
24,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > nav#block-mainnavigationmobile-2 > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li + li + li + li + li > ul#accessible-megamenu-forms & instructions-submenu > div:nth-of-type(1) > li:nth-of-type(1) > a#accessible-megamenu-forms & instructions-submenu-0,link_redundant,0,https://www.irs.gov/
25,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-mainnavigationmobile > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li > ul#accessible-megamenu-file-submenu > div:nth-of-type(1) > li:nth-of-type(1) > a#accessible-megamenu-file-submenu-0,link_redundant,0,https://www.irs.gov/
26,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-mainnavigationmobile > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li + li > ul#accessible-megamenu-pay-submenu > div:nth-of-type(1) > li:nth-of-type(1) > a#accessible-megamenu-pay-submenu-0,link_redundant,0,https://www.irs.gov/
27,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-mainnavigationmobile > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li + li + li > ul#accessible-megamenu-refunds-submenu > div:nth-of-type(1) > li:nth-of-type(1) > a#accessible-megamenu-refunds-submenu-0,link_redundant,0,https://www.irs.gov/
28,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-mainnavigationmobile > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li + li + li + li > ul#accessible-megamenu-credits & deductions-submenu > div:nth-of-type(1) > li:nth-of-type(1) > a#accessible-megamenu-credits & deductions-submenu-0,link_redundant,0,https://www.irs.gov/
29,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-mainnavigationmobile > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li + li + li + li + li > ul#accessible-megamenu-forms & instructions-submenu > div:nth-of-type(1) > li:nth-of-type(1) > a#accessible-megamenu-forms & instructions-submenu-0,link_redundant,0,https://www.irs.gov/
30,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > h1:nth-of-type(1) + header + div + div > div:nth-of-type(1) > div:nth-of-type(1) > section:nth-of-type(1) > div:nth-of-type(1) > article#main-content > div:nth-of-type(1) > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div + div > a:nth-of-type(1),link_redundant,0,https://www.irs.gov/
31,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > h1:nth-of-type(1) + header + div + div > div:nth-of-type(1) > div:nth-of-type(1) > section:nth-of-type(1) > div:nth-of-type(1) > article#main-content > div:nth-of-type(1) > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div > div:nth-of-type(1) > div:nth-of-type(1) + div + div > a:nth-of-type(1),link_redundant,0,https://www.irs.gov/
32,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > h1:nth-of-type(1) + header + div + div > div:nth-of-type(1) > div:nth-of-type(1) > section:nth-of-type(1) > div:nth-of-type(1) > article#main-content > div:nth-of-type(1) > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) + div + div > a:nth-of-type(1),link_redundant,0,https://www.irs.gov/
33,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > h1:nth-of-type(1) + header + div + div > div:nth-of-type(1) > div:nth-of-type(1) > section:nth-of-type(1) > div:nth-of-type(1) > article#main-content > div:nth-of-type(1) > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div + div + div > div:nth-of-type(1) > div:nth-of-type(1) + div + div > a:nth-of-type(1),link_redundant,0,https://www.irs.gov/
34,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > h1:nth-of-type(1) + header + div + div > div:nth-of-type(1) > div:nth-of-type(1) > section:nth-of-type(1) > div:nth-of-type(1) > article#main-content > div:nth-of-type(1) > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div + div + div + div > div:nth-of-type(1) > div:nth-of-type(1) + div + div > a:nth-of-type(1),link_redundant,0,https://www.irs.gov/
35,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > h1:nth-of-type(1) + header + div + div > div:nth-of-type(1) > div:nth-of-type(1) > section:nth-of-type(1) > div:nth-of-type(1) > article#main-content > div:nth-of-type(1) > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div + div + div + div + div > div:nth-of-type(1) > div:nth-of-type(1) + div + div > a:nth-of-type(1),link_redundant,0,https://www.irs.gov/
36,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > nav#block-mainnavigationmobile-2 > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li + li + li + li + li > ul#accessible-megamenu-forms & instructions-submenu > div:nth-of-type(1) > li:nth-of-type(1) + div > li:nth-of-type(1) + li + li + li > a#accessible-megamenu-forms & instructions-submenu-3,link_pdf,0,https://www.irs.gov/
37,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > nav#block-mainnavigationmobile-2 > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li + li + li + li + li > ul#accessible-megamenu-forms & instructions-submenu > div:nth-of-type(1) > li:nth-of-type(1) + div + div + div > li:nth-of-type(1) + li + li + li + li + li + li + li > a#accessible-megamenu-forms & instructions-submenu-14,link_pdf,0,https://www.irs.gov/
38,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > section#block-accordionmainnavigationmobile > div:nth-of-type(1) > div#ui-id-10 > ul:nth-of-type(1) > li:nth-of-type(1) + li + li + li > a:nth-of-type(1),link_pdf,0,https://www.irs.gov/
39,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > section#block-accordionmainnavigationmobile > div:nth-of-type(1) > div#ui-id-10 > ul:nth-of-type(1) > li:nth-of-type(1) + li + li + li + li + li + li + li + li + li + li + li + li + li + li > a:nth-of-type(1),link_pdf,0,https://www.irs.gov/
40,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-mainnavigationmobile > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li + li + li + li + li > ul#accessible-megamenu-forms & instructions-submenu > div:nth-of-type(1) > li:nth-of-type(1) + div > li:nth-of-type(1) + li + li + li > a#accessible-megamenu-forms & instructions-submenu-3,link_pdf,0,https://www.irs.gov/
41,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-mainnavigationmobile > ul#accessible-megamenu-navigation > a:nth-of-type(1) + li + li + li + li + li > ul#accessible-megamenu-forms & instructions-submenu > div:nth-of-type(1) > li:nth-of-type(1) + div + div + div > li:nth-of-type(1) + li + li + li + li + li + li + li > a#accessible-megamenu-forms & instructions-submenu-14,link_pdf,0,https://www.irs.gov/
42,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript,noscript,0,https://www.irs.gov/
43,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div > div:nth-of-type(1) > nav#block-pup-irs-informationmenu-2 > h2:nth-of-type(1) + ul > li:nth-of-type(1) > a:nth-of-type(1),title_redundant,0,https://www.irs.gov/
44,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div > div:nth-of-type(1) > nav#block-pup-irs-informationmenu-2 > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li > a:nth-of-type(1),title_redundant,0,https://www.irs.gov/
45,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-info-menu-collapse > div:nth-of-type(1) > nav#block-pup-irs-informationmenu > h2:nth-of-type(1) + ul > li:nth-of-type(1) > a:nth-of-type(1),title_redundant,0,https://www.irs.gov/
46,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-info-menu-collapse > div:nth-of-type(1) > nav#block-pup-irs-informationmenu > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li > a:nth-of-type(1),title_redundant,0,https://www.irs.gov/
47,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-pup-irs-infomenumobile > h2:nth-of-type(1) + ul > li:nth-of-type(1) > a:nth-of-type(1),title_redundant,0,https://www.irs.gov/
48,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-pup-irs-infomenumobile > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li > a:nth-of-type(1),title_redundant,0,https://www.irs.gov/
49,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div#pup-header-nav-collapse > div:nth-of-type(1) > nav#block-pup-irs-infomenumobile > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li + li + li > a:nth-of-type(1),title_redundant,0,https://www.irs.gov/
50,,,alert,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > h1:nth-of-type(1) + header + div + div > div:nth-of-type(1) > div:nth-of-type(1) > section:nth-of-type(1) > div:nth-of-type(1) > article#main-content > div:nth-of-type(1) > div:nth-of-type(1) + div + div + div > div:nth-of-type(1) > div#video-row > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) > iframe#1aidmxj1o9u,youtube_video,0,https://www.irs.gov/
0,#ffffff,#48a8c6,error,2.73,html > body#uni-home > p:nth-of-type(1) + label + input + div + script + div + div > div:nth-of-type(1) > h2:nth-of-type(1) + ul + div + div > section:nth-of-type(1) > h2:nth-of-type(1) + div > blockquote:nth-of-type(1) > footer:nth-of-type(1) > cite:nth-of-type(1) > a:nth-of-type(1),contrast,1,https://odu.edu/
1,#ffffff,#48a8c6,error,2.73,html > body#uni-home > p:nth-of-type(1) + label + input + div + script + div + div > div:nth-of-type(1) > h2:nth-of-type(1) + ul + div + div > section:nth-of-type(1) > h2:nth-of-type(1) + div > blockquote:nth-of-type(1) > footer:nth-of-type(1) + p > a:nth-of-type(1),contrast,1,https://odu.edu/
2,#ffffff,#48a8c6,error,2.73,html > body#uni-home > p:nth-of-type(1) + label + input + div + script + div + div > div:nth-of-type(1) > h2:nth-of-type(1) + ul + div + div > section:nth-of-type(1) > h2:nth-of-type(1) + div + div > blockquote:nth-of-type(1) > footer:nth-of-type(1) > cite:nth-of-type(1) > a:nth-of-type(1),contrast,1,https://odu.edu/
3,#ffffff,#48a8c6,error,2.73,html > body#uni-home > p:nth-of-type(1) + label + input + div + script + div + div > div:nth-of-type(1) > h2:nth-of-type(1) + ul + div + div > section:nth-of-type(1) > h2:nth-of-type(1) + div + div > blockquote:nth-of-type(1) > footer:nth-of-type(1) + p > a:nth-of-type(1),contrast,1,https://odu.edu/
4,#ffffff,#48a8c6,error,2.73,html > body#uni-home > p:nth-of-type(1) + label + input + div + script + div + div > div:nth-of-type(1) > h2:nth-of-type(1) + ul + div + div > section:nth-of-type(1) > h2:nth-of-type(1) + div + div > blockquote:nth-of-type(1) > footer:nth-of-type(1) + p > a:nth-of-type(1) + a,contrast,1,https://odu.edu/
5,#ffffff,#48a8c6,error,2.73,html > body#uni-home > p:nth-of-type(1) + label + input + div + script + div + div > div:nth-of-type(1) > h2:nth-of-type(1) + ul + div + div > section:nth-of-type(1) > h2:nth-of-type(1) + div + div > blockquote:nth-of-type(1) > footer:nth-of-type(1) + p > a:nth-of-type(1) + a + a,contrast,1,https://odu.edu/
6,#ffffff,#48a8c6,error,2.73,html > body#uni-home > p:nth-of-type(1) + label + input + div + script + div + div > div:nth-of-type(1) > h2:nth-of-type(1) + ul + div + div > section:nth-of-type(1) > h2:nth-of-type(1) + div + div > blockquote:nth-of-type(1) > footer:nth-of-type(1) + p > a:nth-of-type(1) + a + a + a,contrast,1,https://odu.edu/
7,,,error,0,html > body#uni-home > div#page-container > header#university-header > div#university-utility-links > div:nth-of-type(1) > nav:nth-of-type(1) > form#university-search > label:nth-of-type(1) + label + span > input:nth-of-type(1),label_missing,1,https://odu.edu/
8,,,error,0,html > body#uni-home > div#page-container > section#interactive2 > div#homepagecarousel > div:nth-of-type(1) > div:nth-of-type(1) + a,link_empty,1,https://odu.edu/
9,,,error,0,html > body#uni-home > div#page-container > section#interactive2 > div#homepagecarousel > div:nth-of-type(1) > div:nth-of-type(1) + a + a,link_empty,1,https://odu.edu/
10,,,error,0,html > body#uni-home > div#page-container > section#interactive2 > div#homepagecarousel > div:nth-of-type(1) > div:nth-of-type(1) + a + a + div + a,link_empty,1,https://odu.edu/
11,,,error,0,html > body#uni-home > div#page-container > section#interactive2 > div#homepagecarousel > div:nth-of-type(1) > div:nth-of-type(1) + a + a + div + a + a,link_empty,1,https://odu.edu/
12,,,error,0,html > body#uni-home > div#page-container > section#interactive2 > div#homepagecarousel > div:nth-of-type(1) > div:nth-of-type(1) + a + a + div + a + a + div + a,link_empty,1,https://odu.edu/
13,,,error,0,html > body#uni-home > div#page-container > section#interactive2 > div#homepagecarousel > div:nth-of-type(1) > div:nth-of-type(1) + a + a + div + a + a + div + a + a,link_empty,1,https://odu.edu/
14,,,error,0,html > body#uni-home > div#page-container > section#interactive2 > div#homepagecarousel > div:nth-of-type(1) > div:nth-of-type(1) + a + a + div + a + a + div + a + a + div + a,link_empty,1,https://odu.edu/
15,,,error,0,html > body#uni-home > div#page-container > section#interactive2 > div#homepagecarousel > div:nth-of-type(1) > div:nth-of-type(1) + a + a + div + a + a + div + a + a + div + a + a,link_empty,1,https://odu.edu/
16,,,error,0,html > body#uni-home > div#page-container > section#interactive2 > div#homepagecarousel > div:nth-of-type(1) > div:nth-of-type(1) + a + a + div + a + a + div + a + a + div + a + a + div + a,link_empty,1,https://odu.edu/
17,,,error,0,html > body#uni-home > div#page-container > section#interactive2 > div#homepagecarousel > div:nth-of-type(1) > div:nth-of-type(1) + a + a + div + a + a + div + a + a + div + a + a + div + a + a,link_empty,1,https://odu.edu/
18,,,error,0,html > body#uni-home > div#page-container > section#interactive2 > div#homepagecarousel > div:nth-of-type(1) > div:nth-of-type(1) + a + a + div + a + a + div + a + a + div + a + a + div + a + a + div + a,link_empty,1,https://odu.edu/
19,,,error,0,html > body#uni-home > div#page-container > section#interactive2 > div#homepagecarousel > div:nth-of-type(1) > div:nth-of-type(1) + a + a + div + a + a + div + a + a + div + a + a + div + a + a + div + a + a,link_empty,1,https://odu.edu/
20,,,error,0,html > body#uni-home > p:nth-of-type(1) > a:nth-of-type(1),link_skip_broken,1,https://odu.edu/
21,,,alert,0,html > body#uni-home > div#page-container > header#university-header > div#university-utility-links > div:nth-of-type(1) > nav:nth-of-type(1) > form#university-search > label:nth-of-type(1) + label,label_orphaned,1,https://odu.edu/
