bg,bg_num,compliant,fg,fg_num,ratio
#95DC40,9821248,False,#5E40D0,6176976,4.03
#95DC40,9821248,False,#A76490,10970256,2.58
#95DC40,9821248,False,#D9B500,14267648,1.19
#95DC40,9821248,False,#9DEC20,10349600,1.14
#95DC40,9821248,False,#337DB0,3374512,2.67
#95DC40,9821248,False,#D92EB0,14233264,2.53
#95DC40,9821248,False,#42A940,4368704,1.8
#95DC40,9821248,True,#0C4D60,806240,5.6
#95DC40,9821248,False,#902C90,9448592,4.26
#95DC40,9821248,True,#541980,5511552,6.88
#95DC40,9821248,False,#9DFBC0,10353600,1.34
#95DC40,9821248,False,#EC6600,15492608,1.94
#95DC40,9821248,False,#F8F1F0,16314864,1.49
#95DC40,9821248,True,#570840,5703744,8.31
#95DC40,9821248,False,#E179E0,14776800,1.57
#95DC40,9821248,False,#9F8BA0,10455968,1.88
#95DC40,9821248,True,#712B50,7416656,5.81
#95DC40,9821248,False,#EAE090,15392912,1.23
#95DC40,9821248,False,#F68E80,16158336,1.38
#95DC40,9821248,False,#BCF520,12383520,1.28
#95DC40,9821248,False,#E39010,14913552,1.52
#95DC40,9821248,False,#50F6A0,5306016,1.19
#95DC40,9821248,True,#164210,1458704,6.91
#95DC40,9821248,False,#23AEB0,2338480,1.62
#95DC40,9821248,True,#0B45C0,738752,4.79
#95DC40,9821248,False,#7A4690,8013456,4.05
#95DC40,9821248,False,#739940,7575872,1.97
#95DC40,9821248,False,#D430B0,13906096,2.59
#95DC40,9821248,True,#5928B0,5843120,5.34
#95DC40,9821248,False,#DEF280,14611072,1.35
#95DC40,9821248,False,#29B3E0,2733024,1.46
#95DC40,9821248,False,#7200E0,7471328,4.5
#95DC40,9821248,False,#C8DFE0,13164512,1.19
#95DC40,9821248,False,#C41360,12850016,3.48
#95DC40,9821248,False,#84C230,8700464,1.29
#95DC40,9821248,False,#9BD310,10212112,1.07
#95DC40,9821248,False,#B4BAC0,11844288,1.17
#95DC40,9821248,False,#BCA2E0,12362464,1.34
#95DC40,9821248,False,#C80510,13108496,3.61
#95DC40,9821248,False,#8555E0,8738272,2.87
#95DC40,9821248,False,#FB31E0,16462304,1.9
#95DC40,9821248,False,#70A9C0,7383488,1.54
#95DC40,9821248,True,#890670,8980080,5.41
#95DC40,9821248,False,#E0C310,14730000,1.05
#95DC40,9821248,False,#C25010,12734480,2.82
#95DC40,9821248,True,#081370,529264,9.41
#95DC40,9821248,False,#2EFA40,3078720,1.18
#95DC40,9821248,True,#333D30,3358000,6.8
#95DC40,9821248,True,#263FC0,2506688,4.92
#95DC40,9821248,False,#4A96C0,4888256,1.96
#95DC40,9821248,False,#3FC140,4178240,1.41
#95DC40,9821248,False,#9543A0,9782176,3.5
#95DC40,9821248,False,#A96760,11102048,2.62
#95DC40,9821248,False,#E7A960,15182176,1.22
#95DC40,9821248,True,#2E16A0,3020448,7.24
#95DC40,9821248,False,#53BFC0,5488576,1.31
#95DC40,9821248,False,#BF5F20,12541728,2.58
#95DC40,9821248,False,#00A160,41312,2.0
#95DC40,9821248,False,#E96540,15295808,1.96
#95DC40,9821248,False,#3793F0,3642352,1.9
#95DC40,9821248,False,#E51A10,15014416,2.8
#95DC40,9821248,False,#FDE820,16640032,1.32
#95DC40,9821248,False,#9326D0,9643728,3.67
#95DC40,9821248,False,#9D72E0,10318560,2.12
#95DC40,9821248,False,#D80DD0,14159312,2.57
#95DC40,9821248,False,#8CF780,9238400,1.24
#95DC40,9821248,False,#4AC3F0,4899824,1.21
#95DC40,9821248,False,#9AEA80,10152576,1.14
#95DC40,9821248,False,#E26600,14837248,2.05
#95DC40,9821248,False,#B3D6C0,11785920,1.05
#95DC40,9821248,False,#416090,4284560,3.81
#95DC40,9821248,False,#9DDF60,10346336,1.04
#95DC40,9821248,False,#8A36D0,9058000,3.57
#95DC40,9821248,False,#84B580,8697216,1.41
#95DC40,9821248,True,#332C00,3353600,8.38
#95DC40,9821248,False,#60ADC0,6335936,1.52
#95DC40,9821248,True,#295320,2708256,5.35
#95DC40,9821248,True,#091150,594256,10.4
#95DC40,9821248,False,#1F8860,2066528,2.65
#95DC40,9821248,False,#F1D2F0,15848176,1.2
#95DC40,9821248,False,#B06230,11559472,2.71
#95DC40,9821248,False,#CB8170,13336944,1.82
#95DC40,9821248,False,#3D6250,4022864,4.11
#95DC40,9821248,True,#873100,8859904,5.09
#95DC40,9821248,False,#40D850,4249680,1.12
#95DC40,9821248,False,#D106E0,13698784,2.61
#95DC40,9821248,False,#E64A90,15092368,2.19
#95DC40,9821248,False,#628BB0,6458288,2.15
#95DC40,9821248,False,#E95B80,15293312,2.0
#95DC40,9821248,True,#7F4300,8340224,4.65
#95DC40,9821248,False,#E9F0A0,15331488,1.38
#95DC40,9821248,False,#E6F620,15136288,1.39
#95DC40,9821248,False,#4D5F30,5070640,4.2
#95DC40,9821248,False,#A46750,10774352,2.71
#95DC40,9821248,True,#302DD0,3157456,5.21
#95DC40,9821248,True,#371450,3609680,9.13
#95DC40,9821248,False,#364BC0,3558336,4.3
#95DC40,9821248,False,#E7F8B0,15202480,1.46
#95DC40,9821248,False,#669220,6722080,2.2
#95DC40,9821248,False,#819B70,8493936,1.83
#95DC40,9821248,True,#3B5470,3888240,4.68
#95DC40,9821248,False,#B4ED10,11857168,1.19
#95DC40,9821248,True,#493060,4796512,6.71
#95DC40,9821248,False,#7E8950,8292688,2.25
#95DC40,9821248,False,#1E9320,2003744,2.39
#95DC40,9821248,True,#1A3DA0,1719712,5.67
#95DC40,9821248,False,#DC62F0,14443248,1.78
#95DC40,9821248,False,#DBA3D0,14394320,1.23
#95DC40,9821248,False,#BE35C0,12465600,2.82
#95DC40,9821248,False,#F63410,16135184,2.32
#95DC40,9821248,False,#D17A00,13728256,1.93
#95DC40,9821248,False,#87EA10,8907280,1.09
#95DC40,9821248,False,#A55720,10835744,3.15
#95DC40,9821248,False,#51FE90,5373584,1.26
#95DC40,9821248,False,#AE4CD0,11422928,2.65
#95DC40,9821248,False,#705640,7362112,4.06
#95DC40,9821248,False,#1AE910,1763600,1.0
#95DC40,9821248,False,#0FAC60,1027168,1.77
#95DC40,9821248,True,#513510,5322000,6.74
#95DC40,9821248,True,#260BB0,2493360,7.16
#95DC40,9821248,False,#B4DC60,11852896,1.06
#95DC40,9821248,False,#DDE350,14541648,1.2
#95DC40,9821248,False,#F5CE80,16109184,1.11
#95DC40,9821248,False,#F3F8D0,15988944,1.52
#95DC40,9821248,False,#9B73C0,10187712,2.24
#95DC40,9821248,False,#AE2C70,11414640,3.7
#95DC40,9821248,False,#8B81B0,9142704,2.14
#95DC40,9821248,False,#8EA9A0,9349536,1.51
#95DC40,9821248,False,#B20510,11666704,4.3
#95DC40,9821248,True,#4443A0,4473760,4.92
#95DC40,9821248,False,#67A090,6791312,1.79
#95DC40,9821248,False,#58CB70,5819248,1.23
#95DC40,9821248,False,#79C910,7981328,1.23
#95DC40,9821248,False,#00EDC0,60864,1.1
#95DC40,9821248,False,#209730,2135856,2.27
#95DC40,9821248,False,#F798A0,16226464,1.26
#95DC40,9821248,False,#066D10,421136,3.93
#95DC40,9821248,False,#CA7130,13267248,2.12
#95DC40,9821248,False,#7DB480,8238208,1.44
#95DC40,9821248,True,#1B2F70,1781616,7.46
#B57830,11892784,False,#DE8320,14582560,1.29
#B57830,11892784,False,#D55360,13980512,1.08
#B57830,11892784,False,#315880,3233920,2.0
#B57830,11892784,False,#F409A0,15993248,1.05
#B57830,11892784,False,#57A310,5743376,1.16
#B57830,11892784,True,#1F1330,2036528,4.76
#B57830,11892784,False,#1CD190,1888656,1.85
#B57830,11892784,False,#8D5AF0,9263856,1.17
#B57830,11892784,False,#04FC70,326768,2.66
#B57830,11892784,False,#8BC760,9160544,1.83
#B57830,11892784,False,#5E40D0,6176976,1.82
#B57830,11892784,False,#A76490,10970256,1.16
#B57830,11892784,False,#D9B500,14267648,1.85
#B57830,11892784,False,#9DEC20,10349600,2.53
#B57830,11892784,False,#337DB0,3374512,1.21
#B57830,11892784,False,#D92EB0,14233264,1.14
#B57830,11892784,False,#42A940,4368704,1.22
#B57830,11892784,False,#0C4D60,806240,2.53
#B57830,11892784,False,#902C90,9448592,1.93
#B57830,11892784,False,#541980,5511552,3.11
#B57830,11892784,False,#9DFBC0,10353600,2.98
#B57830,11892784,False,#EC6600,15492608,1.13
#B57830,11892784,False,#F8F1F0,16314864,3.3
#B57830,11892784,False,#570840,5703744,3.76
#B57830,11892784,False,#E179E0,14776800,1.4
#B57830,11892784,False,#9F8BA0,10455968,1.17
#B57830,11892784,False,#712B50,7416656,2.63
#B57830,11892784,False,#EAE090,15392912,2.73
#B57830,11892784,False,#F68E80,16158336,1.59
#B57830,11892784,False,#BCF520,12383520,2.84
#B57830,11892784,False,#E39010,14913552,1.45
#B57830,11892784,False,#50F6A0,5306016,2.63
#B57830,11892784,False,#164210,1458704,3.12
#B57830,11892784,False,#23AEB0,2338480,1.36
#B57830,11892784,False,#0B45C0,738752,2.16
#B57830,11892784,False,#7A4690,8013456,1.83
#B57830,11892784,False,#739940,7575872,1.11
#B57830,11892784,False,#D430B0,13906096,1.17
#B57830,11892784,False,#5928B0,5843120,2.41
#B57830,11892784,False,#DEF280,14611072,3.0
#B57830,11892784,False,#29B3E0,2733024,1.51
#B57830,11892784,False,#7200E0,7471328,2.03
#B57830,11892784,False,#C8DFE0,13164512,2.64
#B57830,11892784,False,#C41360,12850016,1.57
#B57830,11892784,False,#84C230,8700464,1.71
#B57830,11892784,False,#9BD310,10212112,2.05
#B57830,11892784,False,#B4BAC0,11844288,1.88
#B57830,11892784,False,#BCA2E0,12362464,1.64
#B57830,11892784,False,#C80510,13108496,1.63
#B57830,11892784,False,#8555E0,8738272,1.3
#B57830,11892784,False,#FB31E0,16462304,1.16
#B57830,11892784,False,#70A9C0,7383488,1.42
#B57830,11892784,False,#890670,8980080,2.45
#B57830,11892784,False,#E0C310,14730000,2.1
#B57830,11892784,False,#C25010,12734480,1.27
#B57830,11892784,False,#081370,529264,4.25
#B57830,11892784,False,#2EFA40,3078720,2.61
#B57830,11892784,False,#333D30,3358000,3.07
#B57830,11892784,False,#263FC0,2506688,2.22
#B57830,11892784,False,#4A96C0,4888256,1.12
#B57830,11892784,False,#3FC140,4178240,1.56
#B57830,11892784,False,#9543A0,9782176,1.58
#B57830,11892784,False,#A96760,11102048,1.18
#B57830,11892784,False,#E7A960,15182176,1.79
#B57830,11892784,False,#2E16A0,3020448,3.27
#B57830,11892784,False,#53BFC0,5488576,1.68
#B57830,11892784,False,#BF5F20,12541728,1.16
#B57830,11892784,False,#00A160,41312,1.1
#B57830,11892784,False,#E96540,15295808,1.12
#B57830,11892784,False,#3793F0,3642352,1.15
#B57830,11892784,False,#E51A10,15014416,1.26
#B57830,11892784,False,#FDE820,16640032,2.93
#B57830,11892784,False,#9326D0,9643728,1.66
#B57830,11892784,False,#9D72E0,10318560,1.03
#B57830,11892784,False,#D80DD0,14159312,1.16
#B57830,11892784,False,#8CF780,9238400,2.76
#B57830,11892784,False,#4AC3F0,4899824,1.81
#B57830,11892784,False,#9AEA80,10152576,2.53
#B57830,11892784,False,#E26600,14837248,1.07
#B57830,11892784,False,#B3D6C0,11785920,2.33
#B57830,11892784,False,#416090,4284560,1.72
#B57830,11892784,False,#9DDF60,10346336,2.31
#B57830,11892784,False,#8A36D0,9058000,1.61
#B57830,11892784,False,#84B580,8697216,1.56
#B57830,11892784,False,#332C00,3353600,3.79
#B57830,11892784,False,#60ADC0,6335936,1.44
#B57830,11892784,False,#295320,2708256,2.42
#B57830,11892784,True,#091150,594256,4.71
#B57830,11892784,False,#1F8860,2066528,1.19
#B57830,11892784,False,#F1D2F0,15848176,2.67
#B57830,11892784,False,#B06230,11559472,1.22
#B57830,11892784,False,#CB8170,13336944,1.21
#B57830,11892784,False,#3D6250,4022864,1.85
#B57830,11892784,False,#873100,8859904,2.3
#B57830,11892784,False,#40D850,4249680,1.95
#B57830,11892784,False,#D106E0,13698784,1.18
#B57830,11892784,False,#E64A90,15092368,1.0
#B57830,11892784,False,#628BB0,6458288,1.02
#B57830,11892784,False,#E95B80,15293312,1.1
#B57830,11892784,False,#7F4300,8340224,2.1
#B57830,11892784,False,#E9F0A0,15331488,3.06
#B57830,11892784,False,#E6F620,15136288,3.08
#B57830,11892784,False,#4D5F30,5070640,1.9
#B57830,11892784,False,#A46750,10774352,1.22
#B57830,11892784,False,#302DD0,3157456,2.36
#B57830,11892784,False,#371450,3609680,4.13
#B57830,11892784,False,#364BC0,3558336,1.94
#B57830,11892784,False,#E7F8B0,15202480,3.24
#B57830,11892784,False,#669220,6722080,1.0
#B57830,11892784,False,#819B70,8493936,1.2
#B57830,11892784,False,#3B5470,3888240,2.11
#B57830,11892784,False,#B4ED10,11857168,2.64
#B57830,11892784,False,#493060,4796512,3.03
#B57830,11892784,False,#7E8950,8292688,1.02
#B57830,11892784,False,#1E9320,2003744,1.08
#B57830,11892784,False,#1A3DA0,1719712,2.56
#B57830,11892784,False,#DC62F0,14443248,1.23
#B57830,11892784,False,#DBA3D0,14394320,1.78
#B57830,11892784,False,#BE35C0,12465600,1.27
#B57830,11892784,False,#F63410,16135184,1.05
#B57830,11892784,False,#D17A00,13728256,1.14
#B57830,11892784,False,#87EA10,8907280,2.42
#B57830,11892784,False,#A55720,10835744,1.42
#B57830,11892784,False,#51FE90,5373584,2.79
#B57830,11892784,False,#AE4CD0,11422928,1.2
#B57830,11892784,False,#705640,7362112,1.84
#B57830,11892784,False,#1AE910,1763600,2.23
#B57830,11892784,False,#0FAC60,1027168,1.24
#B57830,11892784,False,#513510,5322000,3.05
#B57830,11892784,False,#260BB0,2493360,3.24
#B57830,11892784,False,#B4DC60,11852896,2.34
#B57830,11892784,False,#DDE350,14541648,2.66
#B57830,11892784,False,#F5CE80,16109184,2.46
#B57830,11892784,False,#F3F8D0,15988944,3.36
#B57830,11892784,False,#9B73C0,10187712,1.01
#B57830,11892784,False,#AE2C70,11414640,1.67
#B57830,11892784,False,#8B81B0,9142704,1.02
#B57830,11892784,False,#8EA9A0,9349536,1.46
#B57830,11892784,False,#B20510,11666704,1.94
#B57830,11892784,False,#4443A0,4473760,2.22
#B57830,11892784,False,#67A090,6791312,1.23
#B57830,11892784,False,#58CB70,5819248,1.78
#B57830,11892784,False,#79C910,7981328,1.78
#B57830,11892784,False,#00EDC0,60864,2.43
#B57830,11892784,False,#209730,2135856,1.02
#B57830,11892784,False,#F798A0,16226464,1.74
#B57830,11892784,False,#066D10,421136,1.77
#B57830,11892784,False,#CA7130,13267248,1.03
#B57830,11892784,False,#7DB480,8238208,1.53
#B57830,11892784,False,#1B2F70,1781616,3.37
#3DD580,4052352,False,#DE8320,14582560,1.49
#3DD580,4052352,False,#D55360,13980512,2.1
#3DD580,4052352,False,#315880,3233920,3.88
#3DD580,4052352,False,#F409A0,15993248,2.04
#3DD580,4052352,False,#57A310,5743376,1.65
#3DD580,4052352,True,#1F1330,2036528,9.23
#3DD580,4052352,False,#1CD190,1888656,1.04
#3DD580,4052352,False,#8D5AF0,9263856,2.27
#3DD580,4052352,False,#04FC70,326768,1.37
#3DD580,4052352,False,#8BC760,9160544,1.05
#3DD580,4052352,False,#5E40D0,6176976,3.53
#3DD580,4052352,False,#A76490,10970256,2.26
#3DD580,4052352,False,#D9B500,14267648,1.04
#3DD580,4052352,False,#9DEC20,10349600,1.31
#3DD580,4052352,False,#337DB0,3374512,2.34
#3DD580,4052352,False,#D92EB0,14233264,2.21
#3DD580,4052352,False,#42A940,4368704,1.57
#3DD580,4052352,True,#0C4D60,806240,4.9
#3DD580,4052352,False,#902C90,9448592,3.73
#3DD580,4052352,True,#541980,5511552,6.03
#3DD580,4052352,False,#9DFBC0,10353600,1.54
#3DD580,4052352,False,#EC6600,15492608,1.7
#3DD580,4052352,False,#F8F1F0,16314864,1.7
#3DD580,4052352,True,#570840,5703744,7.28
#3DD580,4052352,False,#E179E0,14776800,1.37
#3DD580,4052352,False,#9F8BA0,10455968,1.65
#3DD580,4052352,True,#712B50,7416656,5.09
#3DD580,4052352,False,#EAE090,15392912,1.41
#3DD580,4052352,False,#F68E80,16158336,1.21
#3DD580,4052352,False,#BCF520,12383520,1.47
#3DD580,4052352,False,#E39010,14913552,1.33
#3DD580,4052352,False,#50F6A0,5306016,1.36
#3DD580,4052352,True,#164210,1458704,6.05
#3DD580,4052352,False,#23AEB0,2338480,1.42
#3DD580,4052352,False,#0B45C0,738752,4.19
#3DD580,4052352,False,#7A4690,8013456,3.55
#3DD580,4052352,False,#739940,7575872,1.73
#3DD580,4052352,False,#D430B0,13906096,2.27
#3DD580,4052352,True,#5928B0,5843120,4.68
#3DD580,4052352,False,#DEF280,14611072,1.55
#3DD580,4052352,False,#29B3E0,2733024,1.27
#3DD580,4052352,False,#7200E0,7471328,3.95
#3DD580,4052352,False,#C8DFE0,13164512,1.36
#3DD580,4052352,False,#C41360,12850016,3.05
#3DD580,4052352,False,#84C230,8700464,1.13
#3DD580,4052352,False,#9BD310,10212112,1.06
#3DD580,4052352,False,#B4BAC0,11844288,1.02
#3DD580,4052352,False,#BCA2E0,12362464,1.17
#3DD580,4052352,False,#C80510,13108496,3.16
#3DD580,4052352,False,#8555E0,8738272,2.52
#3DD580,4052352,False,#FB31E0,16462304,1.66
#3DD580,4052352,False,#70A9C0,7383488,1.35
#3DD580,4052352,True,#890670,8980080,4.74
#3DD580,4052352,False,#E0C310,14730000,1.08
#3DD580,4052352,False,#C25010,12734480,2.47
#3DD580,4052352,True,#081370,529264,8.24
#3DD580,4052352,False,#2EFA40,3078720,1.34
#3DD580,4052352,True,#333D30,3358000,5.95
#3DD580,4052352,False,#263FC0,2506688,4.31
#3DD580,4052352,False,#4A96C0,4888256,1.71
#3DD580,4052352,False,#3FC140,4178240,1.23
#3DD580,4052352,False,#9543A0,9782176,3.07
#3DD580,4052352,False,#A96760,11102048,2.29
#3DD580,4052352,False,#E7A960,15182176,1.07
#3DD580,4052352,True,#2E16A0,3020448,6.34
#3DD580,4052352,False,#53BFC0,5488576,1.15
#3DD580,4052352,False,#BF5F20,12541728,2.26
#3DD580,4052352,False,#00A160,41312,1.75
#3DD580,4052352,False,#E96540,15295808,1.72
#3DD580,4052352,False,#3793F0,3642352,1.67
#3DD580,4052352,False,#E51A10,15014416,2.45
#3DD580,4052352,False,#FDE820,16640032,1.51
#3DD580,4052352,False,#9326D0,9643728,3.21
#3DD580,4052352,False,#9D72E0,10318560,1.86
#3DD580,4052352,False,#D80DD0,14159312,2.25
#3DD580,4052352,False,#8CF780,9238400,1.42
#3DD580,4052352,False,#4AC3F0,4899824,1.06
#3DD580,4052352,False,#9AEA80,10152576,1.31
#3DD580,4052352,False,#E26600,14837248,1.79
#3DD580,4052352,False,#B3D6C0,11785920,1.2
#3DD580,4052352,False,#416090,4284560,3.34
